score,coverage,exact_phrase,title,url
0.6227,100.00%,0,holz zu viel geölt was tun?,https://www.gutefrage.net/frage/holz-zu-viel-geoelt-was-tun
0.5107,66.67%,0,wie pinsel mit aceton reinigen?,https://www.gutefrage.net/frage/wie-pinsel-mit-aceton-reinigen
0.5095,66.67%,0,wie balkon über bürgersteig nass reinigen?,https://www.gutefrage.net/frage/wie-balkon-ueber-buergersteig-nass-reinigen
0.4938,66.67%,0,balkon säubern mit was und wie?,https://www.gutefrage.net/frage/balkon-saeubern-mit-was-und-wie
0.4810,66.67%,0,"was hilft gegen uringeruch auf dem balkon,",https://www.gutefrage.net/frage/was-hilft-gegen-uringeruch-auf-dem-balkon
0.4810,66.67%,0,wie kann ich eine jacke schonend reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-eine-jacke-schonend-reinigen
0.4772,66.67%,0,"wie kann man einen balkon am besten reinigen, und hübsch gestalten?",https://www.gutefrage.net/frage/wie-kann-man-einen-balkon-am-besten-reinigen-und-huebsch-gestalten
0.4771,66.67%,0,asche ( von zigaretten) vom balkon boden weg bekommen wie?,https://www.gutefrage.net/d/frage/asche--von-zigaretten-vom-balkon-boden-weg-bekommen-wie
0.4580,66.67%,0,"hart-plastikverkleidung des fensters durch kerzenruß verfärbt, wie reinigen?",https://www.gutefrage.net/frage/hart-plastikverkleidung-des-fensters-durch-kerzenruss-verfaerbt-wie-reinigen
0.4572,66.67%,0,was könnte man hier tun am balkon um die unebenheit auszugleichen ohne gleich die fliesen abzuschlagen?,https://www.gutefrage.net/frage/was-koennte-man-hier-tun-am-balkon-um-die-unebenheit-auszugleichen-ohne-gleich-die-fliesen-abzuschlagen
0.4549,66.67%,0,wisst ihr wenn man ruft um ein netzt am balkon anzulegen wenn die tauben sich nicht vertreiben lassen und wisst ihr wie teuer das ist?,https://www.gutefrage.net/frage/wisst-ihr-wenn-man-ruft-um-ein-netzt-am-balkon-anzulegen-wenn-die-tauben-sich-nicht-vertreiben-lassen-und-wisst-ihr-wie-teuer-das-ist
0.4532,66.67%,0,weiß jemand was das ist?,https://www.gutefrage.net/frage/weiss-jemand-was-das-ist-517
0.4512,66.67%,0,wie findet ihr meinen haushalts-arbeitstag?,https://www.gutefrage.net/frage/wie-findet-ihr-meinen-haushalts-arbeitstag
