score,coverage,exact_phrase,title,url
0.7593,100.00%,0,womit pflege ich meine holzfliesen auf dem balkon. es handelt sich um klickfliesen aus akazie und sie sind schon sehr ausgeblichen aber erst ein jahr alt?,https://www.gutefrage.net/frage/womit-pflege-ich-meine-holzfliesen-auf-dem-balkon-es-handelt-sich-um-klickfliesen-aus-akazie-und-sie-sind-schon-sehr-ausgeblichen-aber-erst-ein-jahr-alt
0.5194,66.67%,0,was kann man gegen insekten unter holzfliesen auf dem balkon?,https://www.gutefrage.net/frage/was-kann-man-gegen-insekten-unter-holzfliesen-auf-dem-balkon
0.4821,66.67%,0,was ist das für eine pflanze für den balkon?,https://www.gutefrage.net/frage/was-ist-das-fuer-eine-pflanze-fuer-den-balkon
0.4744,66.67%,0,wie pflege ich diese zitronengeranie? 🍋?,https://www.gutefrage.net/frage/wie-pflege-ich-diese-zitronengeranie-
0.4727,66.67%,0,wie kann ich eine igelfalle selber bauen?,https://www.gutefrage.net/frage/wie-kann-ich-eine-igelfalle-selber-bauen
0.4696,66.67%,0,was für winterharte balkonpflanzen gibt es?,https://www.gutefrage.net/frage/was-fuer-winterharte-balkonpflanzen-gibt-es
0.4653,66.67%,0,wohnen: was ziehst du vor? garten oder balkon?,https://www.gutefrage.net/frage/wohnen-was-ziehst-du-vor-garten-oder-balkon
0.4634,66.67%,0,ich habe das nest auf meinem balkon was kann ich machen .habe auch eine,https://www.gutefrage.net/frage/ich-habe-das-nest-auf-meinem--balkon-was-kann-ich-machen-habe-auch-eine
0.4595,66.67%,0,was tun gegen streunnde katze auf dem balkon?,https://www.gutefrage.net/frage/was-tun-gegen-streunnde-katze-auf-dem-balkon
0.4544,66.67%,0,balkon-boden - was nimmt man da?,https://www.gutefrage.net/frage/balkon-boden---was-nimmt-man-da
0.4513,66.67%,0,"maine coon katze, wie ist der charakter?",https://www.gutefrage.net/frage/maine-coon-katze-wie-ist-der-charakter
0.4485,66.67%,0,was hat meine zitronenmelisse?,https://www.gutefrage.net/frage/was-hat-meine-zitronenmelisse
0.4417,66.67%,0,weiß jemand was das für käfer sind?,https://www.gutefrage.net/frage/weiss-jemand-was-das-fuer-kaefer-sind-5
