score,coverage,exact_phrase,title,url
0.6659,100.00%,0,"ikea ""runnen"" bodenbeläge - für wie viel qm?",https://www.gutefrage.net/frage/ikea-runnen-bodenbelaege---fuer-wie-viel-qm
0.6238,100.00%,0,wie riss im steinteppich ausbessern?,https://www.gutefrage.net/frage/wie-riss-im-steinteppich-ausbessern-
0.5760,66.67%,0,welchen bodenbelag kann man auf vorhandene fliesen verlegen ohne die fliesen zu entfernen.,https://www.gutefrage.net/frage/welchen-bodenbelag-kann-man-auf-vorhandene-fliesen-verlegen-ohne-die-fliesen-zu-entfernen
0.5462,66.67%,0,was kostet es einen balkon von ca 8 qm neu fliesen zu lassen?,https://www.gutefrage.net/frage/was-kostet-es-einen-balkon-von-ca-8-qm-neu-fliesen-zu-lassen
0.5462,66.67%,0,was könnte man hier tun am balkon um die unebenheit auszugleichen ohne gleich die fliesen abzuschlagen?,https://www.gutefrage.net/frage/was-koennte-man-hier-tun-am-balkon-um-die-unebenheit-auszugleichen-ohne-gleich-die-fliesen-abzuschlagen
0.5086,66.67%,0,wer hat erfahrung mit wpc-fliesen für den balkon?,https://www.gutefrage.net/frage/wer-hat-erfahrung-mit-wpc-fliesen-fuer-den-balkon-
0.5030,66.67%,0,fliesen legen! was kostet das?,https://www.gutefrage.net/frage/fliesen-legen-was-kostet-das
0.4982,66.67%,0,balkon-boden - was nimmt man da?,https://www.gutefrage.net/frage/balkon-boden---was-nimmt-man-da
0.4974,66.67%,0,kann man fliesen direkt auf beton legen?,https://www.gutefrage.net/frage/kann-man-fliesen-direkt-auf-beton-legen
0.4917,66.67%,0,was ist das für ein bodenbelag?,https://www.gutefrage.net/frage/was-ist-das-fuer-ein-bodenbelag-7
0.4899,66.67%,0,kann man auf ungeraden dielen fliesen legen?,https://www.gutefrage.net/frage/kann-man-auf-ungeraden-dielen-fliesen-legen
0.4848,66.67%,0,wie viele fliesen brauche ich?,https://www.gutefrage.net/frage/wie-viele-fliessen-brauche-ich
0.4839,66.67%,0,was kann man gut auf fliesen anbringen?,https://www.gutefrage.net/frage/was-kann-man-gut-auf-fliesen-anbringen
0.4811,66.67%,0,wie lange würde es dauern allein diesen balkon zu fliesen?,https://www.gutefrage.net/frage/wie-lange-wuerde-es-dauern-allein-diesen-balkon-zu-fliesen
0.4760,66.67%,0,kann man hässliche fliesen einfach neu lackieren? hält der lack dauerhaft?,https://www.gutefrage.net/frage/kann-man-haessliche-fliesen-einfach-neu-lackieren-haelt-der-lack-dauerhaft
0.4760,66.67%,0,"in fliesen tauchen unvermittelt risse auf, wie reagieren?",https://www.gutefrage.net/frage/in-fliesen-tauchen-unvermittelt-risse-auf-wie-reagieren
0.4723,66.67%,0,umbau der wohnung - kein balkon mehr. was tun?,https://www.gutefrage.net/frage/umbau-der-wohnung---kein-balkon-mehr-was-tun
0.4711,66.67%,0,wie verlege ich im altbau jetzt den boden?,https://www.gutefrage.net/frage/wie-verlege-ich-im-altbau-jetzt-den-boden
0.4653,66.67%,0,balkonsanierung: was kommt da am besten drauf?,https://www.gutefrage.net/frage/balkonsanierung-was-kommt-da-am-besten--drauf
0.4649,66.67%,0,kann man als mieter was da tun?,https://www.gutefrage.net/frage/kann-man-als-mieter-was-da-tun
0.4637,66.67%,0,was für ein boden ist das? und ist das asbest?,https://www.gutefrage.net/frage/was-fuer-ein-boden-ist-das-und-ist-das-asbest
0.4633,66.67%,0,wie den boden (fliesen) im fitnessraum des eigenheims schützen?,https://www.gutefrage.net/frage/wie-den-boden-fliesen-im-fitnessraum-des-eigenheims-schuetzen
0.4526,66.67%,0,"bad-wc-abfluss etwas erhöhen, aber wie?",https://www.gutefrage.net/frage/bad-wc-abfluss-etwas-erhoehen-aber-wie
0.4515,66.67%,0,wer hat mit der firma daniel strauß erfahrung gesammelt? es geht um balkonversiegelung.,https://www.gutefrage.net/frage/wer-hat-mit-der-firma-daniel-strauss-erfahrung-gesammelt-es-geht-um-balkonversiegelung
0.4511,66.67%,0,frage zu apple care+ bei macbooks. wie läuft das ab?,https://www.gutefrage.net/frage/frage-zu-apple-care-bei-macbooks-wie-laeuft-das-ab
0.4489,66.67%,0,kann mir jemand sagen was das für ein käfer ist?,https://www.gutefrage.net/frage/kann-mir-jemand-sagen-was-das-fuer-ein-kaefer-ist-2
0.4453,66.67%,0,wie kann man einfach und kostengünstig sein zuhause verschönern?,https://www.gutefrage.net/frage/wie-kann-man-einfach-und-kostenguenstig-sein-zuhause-verschoenern
0.4363,66.67%,0,thema: kaninchenstall auf gefliesten balkon. habt ihr ideen was ich als untergrund nehmen könnte?,https://www.gutefrage.net/frage/huhu--thema-kaninchenstall
