keyword,score,coverage,exact_phrase,title,url
tapeziertisch,1.0000,0.0000,1,kann man vließtape auf dem tapeziertisch einkleistern anstatt auf der wand?,https://www.gutefrage.net/frage/kann-man-vliesstape-auf-dem-tapeziertisch-einkleistern-anstatt-auf-der-wand
klapptisch,1.0000,0.0000,1,klapptisch umbauen?,https://www.gutefrage.net/frage/klapptisch-umbauen
klapptisch,1.0000,0.0000,1,einfachen großen klapptisch selber bauen?,https://www.gutefrage.net/frage/einfachen-grossen-klapptisch-selber-bauen
klapptisch,1.0000,0.0000,1,"darf ich in der stadt aus spaß einen klapptisch mit einem kleinen mobilen gaskocher aufbauen, fladenbrot machen und dann gratis als wohltätige aktion ausgeben?",https://www.gutefrage.net/frage/darf-ich-in-der-stadt-aus-spass-einen-klapptisch-mit-einem-kleinen-mobilen-gaskocher-aufbauen-fladenbrot-machen-und-dann-gratis-als-wohltaetige-aktion-ausgeben
klapptisch,0.9062,0.0000,1,lösung für klapptisch?,https://www.gutefrage.net/frage/loesung-fuer-klapptisch
klapptisch,0.8929,0.0000,1,alter tisch / klapptisch?,https://www.gutefrage.net/frage/alter-tisch--klapptisch
multifunktionstisch,0.8556,0.0000,1,"am stressless sessel rutscht der multifunktionstisch, was kann man tun?",https://www.gutefrage.net/frage/am-stressless-sessel-rutscht-der-multifunktionstisch-was-kann-man-tun
klapptisch,0.8500,0.0000,1,ist das ein atiker spieltisch?,https://www.gutefrage.net/frage/ist-das-ein-atiker-spieltisch
multifunktionstisch,0.8314,0.0000,1,"schimmel tisch, was tun?",https://www.gutefrage.net/frage/schimmel-tisch-was-tun
klapptisch,0.8258,0.0000,1,welche spielzeug marke?,https://www.gutefrage.net/frage/welche-spielzeug-marke
klapptisch,0.8245,0.0000,1,plastikstühle und tisch welcher müll?,https://www.gutefrage.net/frage/plastikstuehle-und-tisch-welcher-muell
tapeziertisch,0.8227,0.0000,1,flohmarkt - tisch/kleiderstange mitnehmen?,https://www.gutefrage.net/frage/flohmarkt---tischkleiderstange-mitnehmen
klapptisch,0.8225,0.0000,1,"sitze mit beinfreiheit im flieger, wo monitor + klapptisch?",https://www.gutefrage.net/frage/sitze-mit-beinfreiheit-im-flieger-wo-monitor--klapptisch
klapptisch,0.8158,0.0000,1,sitzmöglichkeiten in garage?,https://www.gutefrage.net/d/frage/sitzmoeglichkeiten-in-garage
tapeziertisch,0.8152,0.0000,1,maler will vorkasse für material?,https://www.gutefrage.net/frage/maler-will-vorkasse-fuer-material
klapptisch,0.8062,0.0000,1,wofür sind diese ausfahrbare unterlage bei den klapptischen der deutschen bahn?,https://www.gutefrage.net/frage/wofuer-sind-diese-ausfahrbare-unterlage-bei-den-klapptischen-der-deutschen-bahn
klapptisch,0.8041,0.0000,1,ice cs2 zocken maus lösung?,https://www.gutefrage.net/frage/ice-cs2-zocken-maus-loesung
klapptisch,0.8022,0.0000,1,kann ich meinen ikea norden tisch auf den balkon stellen?,https://www.gutefrage.net/frage/kann-ich-meinen-ikea-norden-tisch-auf-den-balkon-stellen
tapeziertisch,0.8011,0.0000,1,"hallo, ich hab hier ne frage an alle maler oder die etwas davon verstehen:?",https://www.gutefrage.net/frage/hallo-ich-hab-hier-ne-frage-an-alle-maler-oder-die-etwas-davon-verstehen
klapptisch,0.7924,0.0000,1,ideen für ein besonderes silberhochzeitsgeschenk?,https://www.gutefrage.net/frage/ideen-fuer-ein-besonderes-silberhochzeitsgeschenk
klapptisch,0.7905,0.0000,1,hat auch jemand schlechter erfahrung mit dancover zelte gemacht?,https://www.gutefrage.net/frage/hat-auch-jemand-schlechter-erfahrung-mit-dancover-zelte-gemacht
klapptisch,0.7891,0.0000,1,sind das wasseflecken auf der tapete oder was ist das?,https://www.gutefrage.net/frage/sind-das-wasseflecken-auf-der-tapete-oder-was-ist-das
klapptisch,0.7889,0.0000,1,mein sohn (15) hat seinen mitschüler abschreiben lassen - konsequenzen sinnvoll?,https://www.gutefrage.net/frage/mein-sohn-15-hat-seinen-mitschueler-abschreiben-lassen---konsequenzen-sinnvoll
klapptisch,0.7828,0.0000,1,temporäre einzimmerwohnung einrichten - aber womit?,https://www.gutefrage.net/frage/temporaere-einzimmerwohnung-einrichten---aber-womit
klapptisch,0.7733,0.0000,1,straßenstand verkauf genehmigung?,https://www.gutefrage.net/frage/strassenstand-verkauf-genehmigung
arbeitstisch_hoehenverstellbar,0.6598,0.0000,0,ergonomischer arbeitsplatz im homeoffice - wer zahlt?,https://www.gutefrage.net/frage/ergonomischer-arbeitsplatz-im-homeoffice---wer-zahlt
