score,coverage,exact_phrase,title,url
0.4288,50.00%,0,wie ein terrarium reinigen?,https://www.gutefrage.net/frage/wie-ein-terrarium-reinigen
0.4221,50.00%,0,sexspielzeug wie reinigen?,https://www.gutefrage.net/a/frage/sexspielzeug-wie-reinigen
0.4208,50.00%,0,wie vogelhaus reinigen?,https://www.gutefrage.net/frage/wie-vogelhaus-reinigen
0.4194,50.00%,0,wie vagina reinigen?,https://www.gutefrage.net/a/frage/wie-vagina-reinigen
0.4106,50.00%,0,wie versilberten schmuck reinigen?,https://www.gutefrage.net/frage/wie-versilberten-schmuck-reinigen
0.4093,50.00%,0,wie oft motorradkette reinigen und fetten?,https://www.gutefrage.net/frage/wie-oft-motorradkette-reinigen-und-fetten
0.4089,50.00%,0,wie reinige ich einen vergaser?,https://www.gutefrage.net/frage/wie-reinige-ich-einen-vergaser
0.4019,50.00%,0,"kann man seine lunge irgendwie ""reinigen""?",https://www.gutefrage.net/frage/kann-man-seine-lunge-irgendwie-reinigen
0.4000,50.00%,0,wie reinige ich silber?,https://www.gutefrage.net/frage/wie-reinige-ich-silber
0.3984,50.00%,0,wie kann ich effektiv igel von terrasse fern halten?,https://www.gutefrage.net/frage/wie-kann-ich-effektiv-igel-von-terrasse-fern-halten
0.3966,50.00%,0,wie kann ich verbrannte teppiche wieder reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-verbrannte-teppiche-wieder-reinigen
0.3962,50.00%,0,beim reinigen der ohp-folie bildet sich eine trübe schicht. was mache ich falsch?,https://www.gutefrage.net/frage/beim-reinigen-der-ohp-folie-bildet-sich-eine-truebe-schicht-was-mache-ich-falsch
0.3962,50.00%,0,was kann ich nehmen zum reinigen einer mechanischen uhr?,https://www.gutefrage.net/frage/was-kann-ich-nehmen-zum-reinigen-einer-mechanischen-uhr
0.3962,50.00%,0,säure eignen sich zum reinigen von fliesen aber nicht von marmorplatten kann mir jemand eine erklärung dazu geben?,https://www.gutefrage.net/frage/saeure-eignen-sich-zum-reinigen-von-fliesen-aber-nicht-von-marmorplatten-kann-mir-jemand-eine-erklaerung-dazu-geben
0.3962,50.00%,0,wie soll ich skateboard kugellager reinigen und ölen reinigen ohne wasser geht doch nicht?,https://www.gutefrage.net/frage/wwie-soll-ich-skateboard-kugellager-reinigen-und-oelen-reinigen-ohne-wasser-geht-doch-nicht
0.3947,50.00%,0,wie oft muss man einen hamster käfig reinigen?,https://www.gutefrage.net/frage/wie-oft-muss-man-einen-hamster-kaefig-reinigen
0.3946,50.00%,0,wie macbook reinigen?,https://www.gutefrage.net/frage/wie-macbook-reinigen
0.3926,50.00%,0,wann/wie oft sollte man seinen pc reinigen?,https://www.gutefrage.net/frage/wannwie-oft-sollte-man-seinen-pc-reinigen
0.3926,50.00%,0,wie oft sollte man seine tastatur reinigen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-seine-tastatur-reinigen
0.3889,50.00%,0,wie entfernt ihr eure „wasserflecken“ am aquariumglas?,https://www.gutefrage.net/frage/wie-entfernt-ihr-eure-wasserflecken-am-aquariumglas
0.3882,50.00%,0,wie reinige ich eine bluray?,https://www.gutefrage.net/frage/wie-reinige-ich-eine-bluray
0.3877,50.00%,0,wie oft kann man schmuck ultraschall reinigen?,https://www.gutefrage.net/frage/wie-oft-kann-man-schmuck-ultraschall-reinigen
0.3872,50.00%,0,wie die pfeife reinigen?,https://www.gutefrage.net/d/frage/wie-die-pfeife-reinigen
0.3871,50.00%,0,wie kann ich 925 silber reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-925-silber-reinigen
0.3871,50.00%,0,wie laptop in der ritze reinigen?,https://www.gutefrage.net/frage/wie-laptop-in-der-ritze-reinigen
0.3853,50.00%,0,wie oft sollte man silber schmuck reinigen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-silber-schmuck-reinigen
0.3850,50.00%,0,wie katalysator reinigen?,https://www.gutefrage.net/frage/wie-katalysator-reinigen
0.3833,50.00%,0,kontaktlinsenbehälter wie reinigen?,https://www.gutefrage.net/frage/kontaktlinsenbehaelter-wie-reinigen-
0.3833,50.00%,0,wie reinigt man einen spritzbeutel?,https://www.gutefrage.net/frage/wie-reinigt-man-einen-spritzbeutel
0.3828,50.00%,0,mit was motorrad reinigen?,https://www.gutefrage.net/frage/mit-was-motorrad-reinigen
0.3798,50.00%,0,wie kann ich dieses schwert reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-dieses-schwert-reinigen
0.3798,50.00%,0,"angebrannten topf reinigen, aber wie?",https://www.gutefrage.net/frage/angebrannten-topf-reinigen-aber-wie
0.3788,50.00%,0,motorradkette reinigen? wie?,https://www.gutefrage.net/frage/motorradkette-reinigen-wie
0.3787,50.00%,0,wie kann ich meine handschuhe säubern / waschen / reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-meine-handschuhe-saeubern--waschen--reinigen
0.3782,50.00%,0,wie kann ich denn pci-e slot reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-denn-pci-e-slot-reinigen
0.3766,50.00%,0,wie kann man silber am besten reinigen?,https://www.gutefrage.net/frage/wie-kann-man-silber-am-besten-reinigen
0.3766,50.00%,0,wie kann ich die kaminscheibe reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-die-kaminscheibe-reinigen
0.3764,50.00%,0,womit kann man ein leeres aquarium reinigen?,https://www.gutefrage.net/frage/leeres-aquarium-reinigen
0.3750,50.00%,0,wie reinige ich am besten mein nagarium?,https://www.gutefrage.net/frage/wie-reinige-ich-am-besten-mein-nagarium
0.3750,50.00%,0,wie kann man seine querflöte mal richtig reinigen?,https://www.gutefrage.net/frage/wie-kann-man-seine-querfloete-mal-richtig-reinigen
0.3732,50.00%,0,wie pinsel mit aceton reinigen?,https://www.gutefrage.net/frage/wie-pinsel-mit-aceton-reinigen
0.3732,50.00%,0,wie am besten airpods reinigen?,https://www.gutefrage.net/frage/wie-am-besten-airpods-reinigen
0.3722,50.00%,0,wie schmuck mit edelsteinen am besten reinigen?,https://www.gutefrage.net/frage/wie-schmuck-mit-edelsteinen-am-besten-reinigen
0.3720,50.00%,0,wie oft sollte man das katzenklo reinigen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-das-katzenklo-reinigen
0.3718,50.00%,0,wie reinige ich euromünzen am besten?,https://www.gutefrage.net/frage/wie-reinige-ich-euromuenzen-am-besten
0.3718,50.00%,0,wie geschlossene kugellager reinigen?,https://www.gutefrage.net/frage/wie-geschlossene-kugellager-reinigen
0.3715,50.00%,0,bad-lüfter wie korrekt reinigen?,https://www.gutefrage.net/frage/bad-luefter-wie-korrekt-reinigen
0.3714,50.00%,0,kann man mit diesem wasserfilter fluss/seewasser reinigen?,https://www.gutefrage.net/frage/kann-man-mit-diesem-wasserfilter-flussseewasser-reinigen
0.3712,50.00%,0,wie kann ich einen vergoldeten bilderrahmen reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-einen-vergoldeten-bilderrahmen-reinigen
0.3707,50.00%,0,wie reinigt man fotos?,https://www.gutefrage.net/frage/wie-reinigt-man-fotos
0.3702,50.00%,0,wie kann ich das armband einer titanarmarmbanduhr reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-das-armband-einer-titanarmarmbanduhr-reinigen
0.3696,50.00%,0,wie reinige ich meine poren auf der nase richtig?,https://www.gutefrage.net/frage/wie-reinige-ich-meine-poren-auf-der-nase-richtig
0.3696,50.00%,0,kann man einen easy pool mit spülmittel reinigen?,https://www.gutefrage.net/frage/kann-man-einen-easy-pool-mit-spuelmittel-reinigen
0.3684,50.00%,0,"kann ich das panzerglas direkt anbringen, ohne vorher zu reinigen?",https://www.gutefrage.net/frage/kann-ich-das-panzerglas-direkt-anbringen-ohne-vorher-zu-reinigen
0.3683,50.00%,0,wie oft sollte man folgende dinge reinigen/putzen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-folgende-dinge-reinigenputzen
0.3683,50.00%,0,wie kann man am besten long board rollen reinigen?,https://www.gutefrage.net/frage/wie-longboard-rollen-reinigen
0.3676,50.00%,0,wie reinige ich chrom am auto,https://www.gutefrage.net/frage/wie-reinige-ich-chrom-am-auto
0.3665,50.00%,0,wie bekommt man ein teesieb vernünftig sauber?,https://www.gutefrage.net/frage/wie-bekommt-man-ein-teesieb-vernuenftig-sauber
0.3659,50.00%,0,"kugelschreiber ausgelaufen,-wie die finger reinigen?",https://www.gutefrage.net/frage/kugelschreiber-ausgelaufen-wie-die-finger-reinigen
0.3652,50.00%,0,wie oft lederkombi pflegen/reinigen?,https://www.gutefrage.net/frage/wie-oft-lederkombi-pflegenreinigen
0.3645,50.00%,0,wie kann man einen laser einer spielekonsole (wii u) richtig reinigen?,https://www.gutefrage.net/frage/wie-kann-man-einen-laser-einer-spielekonsole-wii-u-richtig-reinigen
0.3632,50.00%,0,kann ich jeden kristall mit rauch reinigen?,https://www.gutefrage.net/frage/kann-ich-jeden-kristall-mit-rauch-reinigen
0.3620,50.00%,0,"wie kann ich meine jacke reinigen, wenn man sie nicht waschen darf?",https://www.gutefrage.net/frage/wie-kann-ich-meine-jacke-reinigen-wenn-man-sie-nicht-waschen-darf
0.3597,50.00%,0,"wie einen sehr dreckigen backofen reinigen? mit klebrigen fettstellen, eingebrannten sachen & wie",https://www.gutefrage.net/frage/wie-einen-sehr-dreckigen-backofen-reinigen-mit-klebrigen-fettstellen-eingebrannten-sachen--wie-
0.3583,50.00%,0,"hi, wie kann ich mein total verußtes fahrrad nach brand reinigen?",https://www.gutefrage.net/frage/hi-wie-kann-ich-mein-total-verusstes-fahrrad--nach-brand-reinigen
0.3550,50.00%,0,"wie kann man am besten, flachbildschirme reinigen?",https://www.gutefrage.net/frage/wie-kann-man-am-besten-flachbildschirme-reinigen
0.3528,50.00%,0,mein rucksack riecht komisch wie kann man den am besten reinigen?,https://www.gutefrage.net/frage/mein-rucksack-riecht-komisch-wie-kann-man-den-am-besten-reinigen
0.3525,50.00%,0,wie berechnet man den gewinn aus (autowäsche)?,https://www.gutefrage.net/frage/wie-berechnet-man-den-gewinn-aus-autowaesche
0.3516,50.00%,0,wie kann man einen tft monitor oder lcd fernseher (beides in etwa das selbe) reinigen?,https://www.gutefrage.net/frage/wie-kann-man-einen-tft-monitor-oder-lcd-fernseher-beides-in-etwa-das-selbe-reinigen
0.3513,50.00%,0,muss man eine aio wie die corsair h115i pro rgb mit kühlflüssigkeit nachfüllen oder reinigen?,https://www.gutefrage.net/frage/muss-man-eine-aio-wie-die-corsair-h115i-pro-rgb-mit-kuehlfluessigkeit-nachfuellen-oder-reinigen
0.3509,50.00%,0,wie reinigt man gebrauchte lederhandschuhe (motorrad)?,https://www.gutefrage.net/frage/wie-reinigt-man-gebrauchte-lederhandschuhe-motorrad
