date,date_raw,status,score,coverage,keywords,title,url
2025-10-04,2025-10-04T18:06:28+02:00,200,0.4512,66.67%,klickfliesen reinigen balkon,wie findet ihr meinen haushalts-arbeitstag?,https://www.gutefrage.net/frage/wie-findet-ihr-meinen-haushalts-arbeitstag
2025-06-04,2025-06-04T19:11:43+02:00,200,0.7461,100.00%,balkonboden holzfliesen,balkon holzfliesen verlegen?,https://www.gutefrage.net/frage/balkon-holzfliesen-verlegen
2025-05-21,2025-05-21T16:58:40+02:00,200,0.3828,50.00%,terrassenfliesen reinigen,mit was motorrad reinigen?,https://www.gutefrage.net/frage/mit-was-motorrad-reinigen
2025-05-18,2025-05-18T23:00:23+02:00,200,0.4917,66.67%,balkon bodenbelag fliesen,was ist das für ein bodenbelag?,https://www.gutefrage.net/frage/was-ist-das-fuer-ein-bodenbelag-7
2025-05-18,2025-05-18T15:36:54+02:00,200,0.4093,50.00%,terrassenfliesen reinigen,wie oft motorradkette reinigen und fetten?,https://www.gutefrage.net/frage/wie-oft-motorradkette-reinigen-und-fetten
2025-04-20,2025-04-20T13:19:05+02:00,200,0.3652,50.00%,terrassenfliesen reinigen,wie oft lederkombi pflegen/reinigen?,https://www.gutefrage.net/frage/wie-oft-lederkombi-pflegenreinigen
2025-04-18,2025-04-18T22:43:17+02:00,200,0.4801,50.00%,terrassenfliesen akazie,schwarze terrassenfliesen so möglich?,https://www.gutefrage.net/frage/schwarze-terrassenfliesen-so-moeglich
2025-04-01,2025-04-01T15:04:38+02:00,200,0.6333,100.00%,akazienholz klickfliesen,boden beim balkon eben machen?,https://www.gutefrage.net/frage/boden-beim-balkon-eben-machen
2025-03-03,2025-03-03T09:54:27+01:00,200,0.4453,66.67%,balkon bodenbelag fliesen,wie kann man einfach und kostengünstig sein zuhause verschönern?,https://www.gutefrage.net/frage/wie-kann-man-einfach-und-kostenguenstig-sein-zuhause-verschoenern
2025-02-23,2025-02-23T20:51:20+01:00,200,0.4221,50.00%,terrassenfliesen reinigen,sexspielzeug wie reinigen?,https://www.gutefrage.net/a/frage/sexspielzeug-wie-reinigen
2024-12-02,2024-12-02T10:06:18+01:00,200,0.3683,50.00%,terrassenfliesen reinigen,wie oft sollte man folgende dinge reinigen/putzen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-folgende-dinge-reinigenputzen
2024-11-21,2024-11-21T12:56:20+01:00,200,0.5462,66.67%,balkon bodenbelag fliesen | holz klickfliesen balkon | klickfliesen reinigen balkon,was könnte man hier tun am balkon um die unebenheit auszugleichen ohne gleich die fliesen abzuschlagen?,https://www.gutefrage.net/frage/was-koennte-man-hier-tun-am-balkon-um-die-unebenheit-auszugleichen-ohne-gleich-die-fliesen-abzuschlagen
2024-11-20,2024-11-20T15:16:52+01:00,200,0.3889,50.00%,terrassenfliesen reinigen,wie entfernt ihr eure „wasserflecken“ am aquariumglas?,https://www.gutefrage.net/frage/wie-entfernt-ihr-eure-wasserflecken-am-aquariumglas
2024-11-05,2024-11-05T13:06:59+01:00,200,0.5023,66.67%,akazienholz terrasse pflege,wie darf eine terrasse aussehen?,https://www.gutefrage.net/frage/wie-darf-eine-terrasse-aussehen
2024-08-05,2024-08-05T20:55:23+02:00,200,0.4772,66.67%,klickfliesen reinigen balkon,"wie kann man einen balkon am besten reinigen, und hübsch gestalten?",https://www.gutefrage.net/frage/wie-kann-man-einen-balkon-am-besten-reinigen-und-huebsch-gestalten
