score,coverage,exact_phrase,title,url
0.7167,100.00%,0,"ikea klickfliesen auf rutschigem balkonuntergrund verlegen, was drunter?",https://www.gutefrage.net/frage/ikea-klickfliesen-auf-rutschigem-balkonuntergrund-verlegen-was-drunter
0.6578,100.00%,0,holz zu viel geölt was tun?,https://www.gutefrage.net/frage/holz-zu-viel-geoelt-was-tun
0.4917,66.67%,0,balkon schön machen wie?,https://www.gutefrage.net/frage/balkon-schoen-machen-wie
0.4900,66.67%,0,wer hat erfahrung mit wpc-fliesen für den balkon?,https://www.gutefrage.net/frage/wer-hat-erfahrung-mit-wpc-fliesen-fuer-den-balkon-
0.4839,66.67%,0,brandfleck auf balkonholzdiele. was tun?,https://www.gutefrage.net/frage/brandfleck-auf-balkonholzdiele-was-tun
0.4723,66.67%,0,kann ich auf den balkon gardinenstange anboten?,https://www.gutefrage.net/frage/kann-ich-auf-den-balkon-gardinenstange-anboten
0.4667,66.67%,0,mit wie viel kilogramm gewicht ist ein balkon belastbar?,https://www.gutefrage.net/frage/mit-wieviel-kilogramm-gewicht-ist-ein-balkon-belastbar
0.4667,66.67%,0,vogel auf dem balkon gelandet kann nicht fliegen (jungtier?)?,https://www.gutefrage.net/frage/vogel-auf-dem-balkon-gelandet-kann-nicht-fliegen-jungtier
0.4667,66.67%,0,was könnte man hier tun am balkon um die unebenheit auszugleichen ohne gleich die fliesen abzuschlagen?,https://www.gutefrage.net/frage/was-koennte-man-hier-tun-am-balkon-um-die-unebenheit-auszugleichen-ohne-gleich-die-fliesen-abzuschlagen
0.4667,66.67%,0,kann ich einen eichetisch im winter auf dem balkon stehen lassen?,https://www.gutefrage.net/frage/kann-ich-einen-eichetisch-im-winter-auf-dem-balkon-stehen-lassen
0.4560,66.67%,0,balkon-boden - was nimmt man da?,https://www.gutefrage.net/frage/balkon-boden---was-nimmt-man-da
0.4514,66.67%,0,wie hoch können frettchen springen?,https://www.gutefrage.net/frage/wie-hoch-koennen-frettchen-springen
0.4508,66.67%,0,"was versteht man unter ""altes holz"" beim rückschnitt von rosmarin / halbsträuchern?",https://www.gutefrage.net/frage/was-versteht-man-unter-altes-holz-beim-rueckschnitt-von-rosmarin--halbstraeuchern
0.4500,66.67%,0,"holzterasse ölen, oder lasieren? mit was genau? auch jetzt noch möglich?",https://www.gutefrage.net/frage/holzterasse-oelen-oder-lasieren-mit-was-genau-auch-jetzt-noch-moeglich
